name,location,area,urlinf,imginf
飛騨高山温泉（ひだたかやま）,岐阜県,中部,https://www.yukoyuko.net/onsen/0761,https://static.yukoyuko.net/images/onsen/onsen_0761_0001.jpg
萩温泉郷（はぎ）,山口県,中国,https://www.yukoyuko.net/onsen/0925,https://static.yukoyuko.net/images/onsen/onsen_0925_0001.jpg
阿蘇温泉（あそ）,熊本県,九州,https://www.yukoyuko.net/onsen/1468,https://static.yukoyuko.net/images/onsen/onsen_1468_0001.jpg
芦ノ牧温泉（あしのまき）,福島県,東北,https://www.yukoyuko.net/onsen/0006,https://static.yukoyuko.net/images/onsen/onsen_0006_0001.jpg
指宿温泉（いぶすき）,鹿児島県,九州,https://www.yukoyuko.net/onsen/0026,https://static.yukoyuko.net/images/onsen/onsen_0026_0001.jpg
老神温泉（おいがみ）,群馬県,関東,https://www.yukoyuko.net/onsen/0032,https://static.yukoyuko.net/images/onsen/onsen_0032_0001.jpg
鴨川温泉（かもがわ）,千葉県,関東,https://www.yukoyuko.net/onsen/0043,https://static.yukoyuko.net/images/onsen/onsen_0043_0001.jpg
河口湖温泉（かわぐちこ）,山梨県,中部,https://www.yukoyuko.net/onsen/0044,https://static.yukoyuko.net/images/onsen/onsen_0044_0001.jpg
大町温泉郷（おおまち）,長野県,中部,https://www.yukoyuko.net/onsen/0078,https://static.yukoyuko.net/images/onsen/onsen_0078_0001.jpg
新平湯温泉（奥飛騨温泉郷）（しんひらゆ（おくひだ））,岐阜県,中部,https://www.yukoyuko.net/onsen/0079,https://static.yukoyuko.net/images/onsen/onsen_0079_0001.jpg
遠刈田温泉（とおがった）,宮城県,東北,https://www.yukoyuko.net/onsen/0098,https://static.yukoyuko.net/images/onsen/onsen_0098_0001.jpg
長門湯本温泉（ながとゆもと）,山口県,中国,https://www.yukoyuko.net/onsen/0101,https://static.yukoyuko.net/images/onsen/onsen_0101_0001.jpg
西浦温泉（にしうら）,愛知県,中部,https://www.yukoyuko.net/onsen/0108,https://static.yukoyuko.net/images/onsen/onsen_0108_0001.jpg
三谷温泉（みや）,愛知県,中部,https://www.yukoyuko.net/onsen/0132,https://static.yukoyuko.net/images/onsen/onsen_0132_0001.jpg
湯原温泉（ゆばら）,岡山県,中国,https://www.yukoyuko.net/onsen/0148,https://static.yukoyuko.net/images/onsen/onsen_0148_0001.jpg
鉄輪温泉（別府温泉郷）（かんなわ（べっぷ））,大分県,九州,https://www.yukoyuko.net/onsen/0299,https://static.yukoyuko.net/images/onsen/onsen_0299_0001.jpg
小涌谷温泉（こわきだに）,神奈川県,関東,https://www.yukoyuko.net/onsen/0348,https://static.yukoyuko.net/images/onsen/onsen_0348_0001.jpg
宮浜温泉（みやはま）,広島県,中国,https://www.yukoyuko.net/onsen/0616,https://static.yukoyuko.net/images/onsen/onsen_0616_0001.jpg
ウトロ温泉（うとろ）,北海道,北海道,https://www.yukoyuko.net/onsen/0787,https://static.yukoyuko.net/images/onsen/onsen_0787_0001.jpg
白馬姫川温泉（はくばひめかわ）,長野県,中部,https://www.yukoyuko.net/onsen/0790,https://static.yukoyuko.net/images/onsen/onsen_0790_0001.jpg
天城　湯ヶ島温泉（あまぎゆがしま）,静岡県,中部,https://www.yukoyuko.net/onsen/0013,https://static.yukoyuko.net/images/onsen/onsen_0013_0001.jpg
稲取温泉（いなとり）,静岡県,中部,https://www.yukoyuko.net/onsen/0024,https://static.yukoyuko.net/images/onsen/onsen_0024_0001.jpg
南紀勝浦温泉（なんきかつうら）,和歌山県,近畿,https://www.yukoyuko.net/onsen/0039,https://static.yukoyuko.net/images/onsen/onsen_0039_0001.jpg
渋温泉（しぶ）,長野県,中部,https://www.yukoyuko.net/onsen/0068,https://static.yukoyuko.net/images/onsen/onsen_0068_0001.jpg
白子温泉（しらこ）,千葉県,関東,https://www.yukoyuko.net/onsen/0073,https://static.yukoyuko.net/images/onsen/onsen_0073_0001.jpg
筋湯温泉（すじゆ）,大分県,九州,https://www.yukoyuko.net/onsen/0081,https://static.yukoyuko.net/images/onsen/onsen_0081_0001.jpg
かみのやま温泉（かみのやま）,山形県,東北,https://www.yukoyuko.net/onsen/0097,https://static.yukoyuko.net/images/onsen/onsen_0097_0001.jpg
野沢温泉（のざわ）,長野県,中部,https://www.yukoyuko.net/onsen/0109,https://static.yukoyuko.net/images/onsen/onsen_0109_0001.jpg
小湊温泉（こみなと）,千葉県,関東,https://www.yukoyuko.net/onsen/0153,https://static.yukoyuko.net/images/onsen/onsen_0153_0001.jpg
赤穂温泉（あこう）,兵庫県,近畿,https://www.yukoyuko.net/onsen/0157,https://static.yukoyuko.net/images/onsen/onsen_0157_0001.jpg
美ヶ原温泉（うつくしがはら）,長野県,中部,https://www.yukoyuko.net/onsen/0177,https://static.yukoyuko.net/images/onsen/onsen_0177_0001.jpg
粟津温泉（あわづ）,石川県,中部,https://www.yukoyuko.net/onsen/0247,https://static.yukoyuko.net/images/onsen/onsen_0247_0001.jpg
鶯宿温泉（おうしゅく）,岩手県,東北,https://www.yukoyuko.net/onsen/0266,https://static.yukoyuko.net/images/onsen/onsen_0266_0001.jpg
つなぎ温泉（つなぎ）,岩手県,東北,https://www.yukoyuko.net/onsen/0281,https://static.yukoyuko.net/images/onsen/onsen_0281_0001.jpg
塩江温泉（しおのえ）,香川県,四国,https://www.yukoyuko.net/onsen/0319,https://static.yukoyuko.net/images/onsen/onsen_0319_0001.jpg
玉名温泉（たまな）,熊本県,九州,https://www.yukoyuko.net/onsen/0380,https://static.yukoyuko.net/images/onsen/onsen_0380_0001.jpg
万座温泉（まんざ）,群馬県,関東,https://www.yukoyuko.net/onsen/0410,https://static.yukoyuko.net/images/onsen/onsen_0410_0001.jpg
びわ湖おごと温泉（びわこおごと）,滋賀県,近畿,https://www.yukoyuko.net/onsen/0438,https://static.yukoyuko.net/images/onsen/onsen_0438_0001.jpg
熱海伊豆山温泉（あたみいずさん）,静岡県,中部,https://www.yukoyuko.net/onsen/0441,https://static.yukoyuko.net/images/onsen/onsen_0441_0001.jpg
網代温泉（あじろ）,静岡県,中部,https://www.yukoyuko.net/onsen/0476,https://static.yukoyuko.net/images/onsen/onsen_0476_0001.jpg
雲仙温泉（うんぜん）,長崎県,九州,https://www.yukoyuko.net/onsen/0525,https://static.yukoyuko.net/images/onsen/onsen_0525_0001.jpg
岩室温泉（いわむろ）,新潟県,中部,https://www.yukoyuko.net/onsen/0570,https://static.yukoyuko.net/images/onsen/onsen_0570_0001.jpg
月岡温泉（つきおか）,新潟県,中部,https://www.yukoyuko.net/onsen/0589,https://static.yukoyuko.net/images/onsen/onsen_0589_0001.jpg
松江しんじ湖温泉（まつえしんじこ）,島根県,中国,https://www.yukoyuko.net/onsen/0789,https://static.yukoyuko.net/images/onsen/onsen_0789_0001.jpg
河口湖温泉郷（かわぐちこ）,山梨県,中部,https://www.yukoyuko.net/onsen/0798,https://static.yukoyuko.net/images/onsen/onsen_0798_0001.jpg
夕日ヶ浦温泉（ゆうひがうら）,京都府,近畿,https://www.yukoyuko.net/onsen/0822,https://static.yukoyuko.net/images/onsen/onsen_0822_0001.jpg
たてやま温泉郷（たてやま）,千葉県,関東,https://www.yukoyuko.net/onsen/0882,https://static.yukoyuko.net/images/onsen/onsen_0882_0001.jpg
松島温泉（まつしま）,宮城県,東北,https://www.yukoyuko.net/onsen/1181,https://static.yukoyuko.net/images/onsen/onsen_1181_0001.jpg
函館温泉（はこだて）,北海道,北海道,https://www.yukoyuko.net/onsen/1477,https://static.yukoyuko.net/images/onsen/onsen_1477_0001.jpg
天ヶ瀬温泉（あまがせ）,大分県,九州,https://www.yukoyuko.net/onsen/0010,https://static.yukoyuko.net/images/onsen/onsen_0010_0001.jpg
浜名湖かんざんじ（舘山寺）温泉（はまなこかんざんじ）,静岡県,中部,https://www.yukoyuko.net/onsen/0048,https://static.yukoyuko.net/images/onsen/onsen_0048_0001.jpg
猿ヶ京温泉（さるがきょう）,群馬県,関東,https://www.yukoyuko.net/onsen/0061,https://static.yukoyuko.net/images/onsen/onsen_0061_0001.jpg
鹿教湯温泉（かけゆ）,長野県,中部,https://www.yukoyuko.net/onsen/0064,https://static.yukoyuko.net/images/onsen/onsen_0064_0001.jpg
小豆島温泉（しょうどしま）,香川県,四国,https://www.yukoyuko.net/onsen/0072,https://static.yukoyuko.net/images/onsen/onsen_0072_0001.jpg
白浜温泉（しらはま）,千葉県,関東,https://www.yukoyuko.net/onsen/0074,https://static.yukoyuko.net/images/onsen/onsen_0074_0001.jpg
堂ヶ島温泉（どうがしま）,静岡県,中部,https://www.yukoyuko.net/onsen/0096,https://static.yukoyuko.net/images/onsen/onsen_0096_0001.jpg
白馬八方温泉（はくばはっぽう）,長野県,中部,https://www.yukoyuko.net/onsen/0110,https://static.yukoyuko.net/images/onsen/onsen_0110_0001.jpg
平戸温泉（ひらど）,長崎県,九州,https://www.yukoyuko.net/onsen/0118,https://static.yukoyuko.net/images/onsen/onsen_0118_0001.jpg
水上温泉（みなかみ）,群馬県,関東,https://www.yukoyuko.net/onsen/0134,https://static.yukoyuko.net/images/onsen/onsen_0134_0001.jpg
南知多温泉郷（みなみちた）,愛知県,中部,https://www.yukoyuko.net/onsen/0136,https://static.yukoyuko.net/images/onsen/onsen_0136_0001.jpg
